rel_x,rel_y,rel_w,rel_h,aspect_ratio,std_dev,edge_density,orb_kp_count,template_pos_score,template_neg_score,label
0.0,0.0,1.0,1.0,3.5301204819277108,51.82817787304583,0.061104486204202474,50,1.0,0.0,1
0.0,0.0,1.0,1.0,1.964705882352941,72.06831957296487,0.049031349066572735,50,1.0,0.0,1
0.0,0.0,1.0,1.0,1.0612244897959184,79.62079379960743,0.1573347287633002,50,1.0,0.0,1
0.0,0.0,1.0,1.0,1.9333333333333333,40.236729380840714,0.11724137931034483,50,1.0,0.0,1
0.0,0.0,1.0,1.0,1.4794520547945205,47.60486592123298,0.09779299847793,50,1.0,0.0,1
0.0,0.0,1.0,1.0,1.0918367346938775,72.1761786514018,0.038241464810223155,10,0.0,1.0,0
0.0,0.0,1.0,1.0,1.6666666666666667,56.59315919331365,0.17712031558185404,10,0.0,1.0,0
0.0,0.0,1.0,1.0,5.466666666666667,30.957993432258732,0.03008130081300813,10,0.0,1.0,0
0.0,0.0,1.0,1.0,5.037037037037037,41.11538562210156,0.08769063180827887,10,0.0,1.0,0
0.0,0.0,1.0,1.0,1.1111111111111112,95.99288775243363,0.13015873015873017,10,0.0,1.0,0
0.0,0.0,1.0,1.0,1.7,81.50415789848854,0.04453781512605042,10,0.0,1.0,0
0.0,0.0,1.0,1.0,4.327272727272727,44.03249268799745,0.045530939648586705,10,0.0,1.0,0
0.0,0.0,1.0,1.0,3.357142857142857,82.30729443410742,0.002310030395136778,10,0.0,1.0,0
0.0,0.0,1.0,1.0,1.4081632653061225,52.71756134938751,0.14344868382135462,10,0.0,1.0,0
0.0,0.0,1.0,1.0,0.8928571428571429,15.702921800137212,0.0,10,0.0,1.0,0
0.0,0.0,1.0,1.0,2.081081081081081,72.46366867301573,0.03498303498303498,10,0.0,1.0,0
0.0,0.0,1.0,1.0,1.1717171717171717,74.24959250954683,0.03622431208638105,10,0.0,1.0,0
0.0,0.0,1.0,1.0,1.2132701421800949,2.5332178534044596,0.0,10,0.0,1.0,0
0.0,0.0,1.0,1.0,4.8076923076923075,70.02995592669379,0.07184615384615384,10,0.0,1.0,0
0.0,0.0,1.0,1.0,1.2246376811594204,79.376908435568,0.16250750364462738,10,0.0,1.0,0
0.0,0.0,1.0,1.0,2.6619718309859155,76.58174497282235,0.052015798494671736,10,0.0,1.0,0
0.5703703703703704,0.6958333333333333,0.1287037037037037,0.04583333333333333,1.5795454545454546,23.520368947803743,0.1236102027468934,50,0.0,1.0,0
0.3101851851851852,0.3265625,0.35,0.058854166666666666,3.3451327433628317,47.70097059504318,0.055719436250409704,50,0.0,1.0,0
0.0,0.6864583333333333,0.44074074074074077,0.05260416666666667,4.712871287128713,57.73214569821436,0.1540893585156835,50,0.0,1.0,0
0.6685185185185185,0.6885416666666667,0.20925925925925926,0.050520833333333334,2.329896907216495,8.79992788520122,0.0,50,0.0,1.0,0
0.40185185185185185,0.3958333333333333,0.19444444444444445,0.06458333333333334,1.6935483870967742,10.272480040674878,0.015245775729646699,50,0.0,1.0,0
0.43148148148148147,0.0265625,0.12685185185185185,0.06458333333333334,1.1048387096774193,42.65546059258195,0.018071579938780315,50,0.0,1.0,0
0.9185185185185185,0.6109375,0.058333333333333334,0.01875,1.75,53.12680792927478,0.020282186948853614,50,0.0,1.0,0
0.3453703703703704,0.5270833333333333,0.30833333333333335,0.06145833333333333,2.8220338983050848,41.41954145959395,0.002570366977146638,50,0.0,1.0,0
0.7379629629629629,0.234375,0.11203703703703703,0.04635416666666667,1.3595505617977528,18.25636960606049,0.049586776859504134,50,0.0,1.0,0
0.09537037037037037,0.35572916666666665,0.05,0.021875,1.2857142857142858,44.18796084481347,0.019400352733686066,50,0.0,1.0,0
0.5518518518518518,0.321875,0.12777777777777777,0.06510416666666667,1.104,48.1367911045698,0.007304347826086957,50,0.0,1.0,0
0.36944444444444446,0.7229166666666667,0.15,0.025,3.375,58.77019032443423,0.0981224279835391,50,0.0,1.0,0
0.5712962962962963,0.6703125,0.2537037037037037,0.09739583333333333,1.46524064171123,19.303626728079234,0.00782622272532105,50,0.0,1.0,0
0.6268518518518519,0.575,0.13425925925925927,0.03958333333333333,1.9078947368421053,22.276018235660505,0.0720508166969147,50,0.0,1.0,0
0.7657407407407407,0.7494791666666667,0.1425925925925926,0.036458333333333336,2.2,36.77414473313045,0.004081632653061225,50,0.0,1.0,0
0.016666666666666666,0.45989583333333334,0.175,0.0515625,1.9090909090909092,4.6789257103868565,0.0,50,0.0,1.0,0
0.6203703703703703,0.24947916666666667,0.11944444444444445,0.04635416666666667,1.449438202247191,37.57572484539393,0.007055134570159394,50,0.0,1.0,0
0.7916666666666666,0.22239583333333332,0.16296296296296298,0.13125,0.6984126984126984,37.481244270562044,0.00561417748917749,50,0.0,1.0,0
0.0,0.7671875,0.3,0.1421875,1.1868131868131868,39.535757041204306,0.00411522633744856,50,0.0,1.0,0
0.2638888888888889,0.69375,0.16944444444444445,0.215625,0.4420289855072464,39.030630228093194,0.027018822100789312,50,0.0,1.0,0
0.5175925925925926,0.4973958333333333,0.025925925925925925,0.20729166666666668,0.07035175879396985,38.38915997062957,0.0017049533381191672,50,0.0,1.0,0
0.13055555555555556,0.6255208333333333,0.20277777777777778,0.0546875,2.085714285714286,67.17812122170912,0.012089584692324419,50,0.0,1.0,0
0.5842592592592593,0.29322916666666665,0.26296296296296295,0.0328125,4.507936507936508,48.243451325762805,0.06746031746031746,50,0.0,1.0,0
